ID,LEVEL_ID,ELEVATION,HEIGHT,THICKNESS,VOLUME
"138141","135675","0","3300","500","2.79"
"138166","135675","0","3300","200","4.433"
"138322","135675","0","3300","500","2.79"
"138383","135675","0","3300","200","4.433"
"138395","135675","0","3300","500","2.79"
"138626","135675","0","3300","500","5.58"
"138627","135675","0","3300","500","3.255"
"138628","135675","0","3300","500","5.58"
"138629","135675","0","3300","500","3.255"
"138787","135675","0","3300","500","5.58"
"138788","135675","0","3300","500","3.255"
"138812","135675","0","3300","100","0.431"
"138922","135675","0","3300","100","0.431"
"138992","135675","0","3300","100","0.738"
"139035","135675","0","3300","100","2.201"
"139534","135675","0","3300","200","2.976"
"139557","135675","0","3300","100","0.31"
"139576","135675","0","3300","100","0.217"
"139583","135675","0","3300","100","0.155"
"139589","135675","0","3300","100","0.2545"
"139880","135675","0","3300","100","0.31"
"139881","135675","0","3300","100","0.217"
"139882","135675","0","3300","100","0.155"
"139883","135675","0","3300","100","0.2545"
"140069","135675","0","3300","100","0.31"
"140070","135675","0","3300","100","0.217"
"140071","135675","0","3300","100","0.155"
"140072","135675","0","3300","100","0.2545"
"140188","135675","0","3300","200","2.976"
"141003","135675","0","3300","100","0.738"
"141004","135675","0","3300","100","2.201"
"141005","135675","0","3300","200","2.976"
"141006","135675","0","3300","100","0.31"
"141007","135675","0","3300","100","0.217"
"141008","135675","0","3300","100","0.155"
"141009","135675","0","3300","100","0.2545"
"141010","135675","0","3300","100","0.31"
"141011","135675","0","3300","100","0.217"
"141012","135675","0","3300","100","0.155"
"141013","135675","0","3300","100","0.2545"
"141518","135675","0","3300","100","0.31"
"141519","135675","0","3300","100","0.217"
"141520","135675","0","3300","100","0.155"
"141521","135675","0","3300","100","0.2545"
"141777","135675","0","3300","100","1.128"
"141855","135675","0","3300","100","0.8525"
"141856","135675","0","3300","100","0.3875"
"142243","135675","0","3300","100","0.6355"
"142342","135675","0","3300","200","2.945"
"142356","135675","0","3300","100","0.5645"
"142465","135675","0","3300","100","0.6045"
"142466","135675","0","3300","100","0.5025"
"142707","135675","0","3300","100","0.6045"
"142708","135675","0","3300","100","0.5025"
"143231","135675","0","3300","100","0.369"
"143331","135675","0","3300","100","0.369"
"144042","135675","0","3300","100","0.738"
"144043","135675","0","3300","100","2.012"
"144044","135675","0","3300","200","2.976"
"144045","135675","0","3300","100","0.31"
"144046","135675","0","3300","100","0.217"
"144047","135675","0","3300","100","0.155"
"144048","135675","0","3300","100","0.2545"
"144049","135675","0","3300","100","0.31"
"144050","135675","0","3300","100","0.217"
"144051","135675","0","3300","100","0.155"
"144052","135675","0","3300","100","0.2545"
"144418","135675","0","3300","100","1.776"
"144797","135675","0","3300","100","0.527"
"144834","135675","0","3300","100","0.1705"
"144841","135675","0","3300","100","0.2015"
"146595","135675","0","3300","100","0.431"
"146596","135675","0","3300","100","0.431"
"146597","135675","0","3300","100","0.6355"
"146598","135675","0","3300","100","0.5025"
"146599","135675","0","3300","100","0.6355"
"146600","135675","0","3300","100","0.5025"
"146838","135675","0","3300","200","2.914"
"146870","135675","0","3300","200","2.914"
"146933","135675","0","3300","100","0.6355"
"146934","135675","0","3300","100","0.5645"
"147304","135675","0","3300","100","0.524"
"147305","135675","0","3300","100","0.6355"
"147306","135675","0","3300","100","0.5025"
"147307","135675","0","3300","100","0.6355"
"147308","135675","0","3300","100","0.5645"
"148240","135675","0","3300","100","0.738"
"148612","135675","0","3300","100","0.738"
"148613","135675","0","3300","200","2.976"
"148614","135675","0","3300","100","0.31"
"148615","135675","0","3300","100","0.217"
"148616","135675","0","3300","100","0.155"
"148617","135675","0","3300","100","0.2545"
"148618","135675","0","3300","100","0.31"
"148619","135675","0","3300","100","0.217"
"148620","135675","0","3300","100","0.155"
"148621","135675","0","3300","100","0.2545"
"149086","135675","0","3300","100","0.738"
"149088","135675","0","3300","100","0.31"
"149089","135675","0","3300","100","0.217"
"149090","135675","0","3300","100","0.155"
"149091","135675","0","3300","100","0.2545"
"149092","135675","0","3300","100","0.31"
"149093","135675","0","3300","100","0.217"
"149094","135675","0","3300","100","0.155"
"149095","135675","0","3300","100","0.2545"
"149506","135675","0","3300","100","2.201"
"153274","135675","0","3300","100","0.3565"
"153275","135675","0","3300","100","0.217"
"153276","135675","0","3300","100","0.155"
"153277","135675","0","3300","100","0.2545"
"161783","161782","0","3300","400","15.0333"
"161784","161782","0","3300","400","47.6087"
"161785","161782","0","3300","400","16.6607"
"161786","161782","0","3300","200","4.488"
"161787","161782","0","3300","200","3.391"
"161788","161782","0","3300","200","3.053"
"161789","161782","0","3300","200","4.457"
"161790","161782","0","3300","200","4.488"
"161791","161782","0","3300","200","1.855"
"161792","161782","0","3300","200","4.567"
"161793","161782","0","3300","200","3.315"
"161794","161782","0","3300","200","3.122"
"161795","161782","0","3300","100","0.924"
"161796","161782","0","3300","100","0.924"
"161797","161782","0","3300","200","1.848"
"161798","161782","0","3300","100","2.232"
"161799","161782","0","3300","100","0.837"
"161800","161782","0","3300","100","0.3875"
"161801","161782","0","3300","200","2.976"
"161802","161782","0","3300","100","2.201"
"161803","161782","0","3300","500","5.58"
"161804","161782","0","3300","500","3.255"
"161805","161782","0","3300","400","48.3256"
"161806","161782","0","3300","500","5.58"
"161807","161782","0","3300","500","3.255"
"161808","161782","0","3300","500","5.58"
"161809","161782","0","3300","500","3.255"
"161810","161782","0","3300","500","5.58"
"161811","161782","0","3300","500","3.255"
"161812","161782","0","3300","500","5.58"
"161813","161782","0","3300","500","3.255"
"161814","161782","0","3300","500","5.58"
"161815","161782","0","3300","500","3.255"
"161816","161782","0","3300","500","2.79"
"161817","161782","0","3300","200","4.433"
"161818","161782","0","3300","500","2.79"
"161819","161782","0","3300","200","4.433"
"161820","161782","0","3300","500","2.79"
"161821","161782","0","3300","500","5.58"
"161822","161782","0","3300","500","3.255"
"161823","161782","0","3300","500","5.58"
"161824","161782","0","3300","500","3.255"
"161825","161782","0","3300","500","5.58"
"161826","161782","0","3300","500","3.255"
"161827","161782","0","3300","100","0.431"
"161828","161782","0","3300","100","0.431"
"161829","161782","0","3300","100","0.738"
"161830","161782","0","3300","100","2.201"
"161831","161782","0","3300","200","2.976"
"161832","161782","0","3300","100","0.31"
"161833","161782","0","3300","100","0.217"
"161834","161782","0","3300","100","0.155"
"161835","161782","0","3300","100","0.2545"
"161836","161782","0","3300","100","0.31"
"161837","161782","0","3300","100","0.217"
