ID,LEVEL_ID,ELEVATION,WINDOW_FORM,WINDOW_STYLE,WIDTH,HEIGHT,TAPERING,AREA,PERIMETER,IMPOST_LENGTH
"163281","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163282","162647","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163283","162647","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163284","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163285","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163286","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163287","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163288","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163289","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163290","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163291","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163292","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163293","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163301","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163302","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163303","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163304","162647","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163305","162647","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163306","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163307","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163308","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163309","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163310","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163311","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163312","162647","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163313","162647","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163362","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163363","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163364","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163365","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163366","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163367","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163368","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163369","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163370","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163371","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163372","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163373","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163374","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163375","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163376","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163377","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163378","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163379","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163380","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163381","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163382","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163383","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163384","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163392","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163393","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163394","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163395","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163396","162648","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163397","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163398","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163399","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163400","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163401","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
